#Record "Start hour" " Dem" Win Sol AirTemp
558 278.5 42637.49 9285.55 204.14 9.7
559 279.0 42807.21 8681.83 147.87 7.8
560 279.5 44084.66 8078.22 91.59 8.2
561 280.0 46198.57 7582.86 49.72 7.2
562 280.5 48534.42 7087.61 7.85 7.5
563 281.0 49085.89 6753.66 0.00 6.4
564 281.5 48868.97 6419.80 0.00 6.7
565 282.0 48455.75 6614.22 0.00 6.0
566 282.5 47629.23 6808.71 0.00 6.1
567 283.0 46298.65 6954.48 0.00 6.2
568 283.5 44757.97 7100.33 0.00 5.9
569 284.0 43183.74 7175.34 0.00 6.3
570 284.5 41465.50 7250.46 0.00 6.3
571 285.0 39229.38 7305.57 0.00 6.4
572 285.5 36851.22 7360.79 0.00 6.3
573 286.0 34731.49 7354.02 0.00 6.6
574 286.5 32652.19 7347.34 0.00 6.5
575 287.0 30288.80 7362.68 0.00 7.3
576 287.5 28825.99 7378.10 0.00 6.8
577 288.0 28748.12 7435.42 0.00 6.8
578 288.5 29001.67 7426.53 0.00 7.0
