t,Marginal_Price
426,0.0739442947
427,0.0739442947
428,0.0739442947
429,0.0739442947
430,0.06721513605
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0.0739442947
447,0.0739442947
448,0.0739442947
449,0.0739442947
450,0.0739442947
451,0.0739442947
452,0.0739442947
453,0.0739442947
454,0.0739442947
455,0.0739442947
456,0.0739442947
457,0.0739442947
458,0.0739442947
459,0.0739442947
460,0.0739442947
461,0.0739442947
462,0.0739442947
463,0.0739442947
464,0.0739442947
465,0.1013549499
466,0.1013549499
467,0.1013549499
468,0.1013549499
469,0.1013549499
470,0.1013549499
471,0.1013549499
472,0.1013549499
473,0.1013549499
474,0.1013549499
475,0.1013549499
476,0.1013549499
477,0.1013549499
478,0.0739442947
479,0.0739442947
480,0.0739442947
481,0.0739442947
482,0.0739442947
483,0.0739442947
484,0.0739442947
485,0.0739442947
486,0.0739442947
487,0.0739442947
488,0.0739442947
489,0.0739442947
490,0.0739442947
491,0.0739442947
492,0.0739442947
493,0.0739442947
494,0.0739442947
495,0.0739442947
496,0.1013549499
497,0.1013549499
498,0.1013549499
499,0.1013549499
500,0.1013549499
501,0.1013549499
502,0.0739442947
503,0.0739442947
504,0.0739442947
505,0.0739442947
506,0.0739442947
507,0.0739442947
508,0.0739442947
509,0.0739442947
510,0.0739442947
511,0.0739442947
512,0.0739442947
513,0.0739442947
514,0.0739442947
515,0.1013549499
516,0.1013549499
517,0.1013549499
518,0.1013549499
519,0.1013549499
520,0.1013549499
521,0.1013549499
522,0.1013549499
523,0.0739442947
524,0.0739442947
525,0.0739442947
526,0.0739442947
527,0.0739442947
528,0.0739442947
529,0.0739442947
530,0.0739442947
531,0.0739442947
532,0.0739442947
533,0.0739442947
534,0.0739442947
535,0.0739442947
536,0.0739442947
537,0.0739442947
538,0.0739442947
539,0.0739442947
540,0.0739442947
541,0.0739442947
542,0.0739442947
543,0.0739442947
544,0.0739442947
545,0.0739442947
546,0.0739442947
547,0.0739442947
548,0.0739442947
549,0.0739442947
550,0.0739442947
551,0.0739442947
552,0.0739442947
553,0.0739442947
554,0.0739442947
555,0.0739442947
556,0.0739442947
557,0.0739442947
558,0.0739442947
559,0.0739442947
560,0.0739442947
561,0.0739442947
562,0.0739442947
563,0.0739442947
564,0.0739442947
565,0.0739442947
566,0.0739442947
567,0.0739442947
568,0.0739442947
569,0.0739442947
570,0.0739442947
571,0.0739442947
572,0.06721513605
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0.0739442947
596,0.0739442947
597,0.0739442947
598,0.0739442947
599,0.0739442947
600,0.0739442947
601,0.0739442947
602,0.0739442947
603,0.0739442947
604,0.0739442947
605,0.0739442947
606,0.0739442947
607,0.0739442947
608,0.0739442947
609,0.0739442947
610,0.0739442947
611,0.1013549499
612,0.1013549499
613,0.1013549499
614,0.1013549499
615,0.1013549499
616,0.1013549499
617,0.1013549499
618,0.1013549499
619,0.1013549499
620,0.1013549499
621,0.1013549499
622,0.1013549499
623,0.0739442947
624,0.0739442947
625,0.0739442947
626,0.0739442947
627,0.0739442947
628,0.0739442947
629,0.0739442947
630,0.0739442947
631,0.0739442947
632,0.0739442947
633,0.0739442947
634,0.0739442947
635,0.0739442947
636,0.0739442947
637,0.0739442947
638,0.1013549499
639,0.1013549499
640,0.1013549499
641,0.1013549499
642,0.1013549499
643,0.1013549499
644,0.1013549499
645,0.1013549499
646,0.1013549499
647,0.1013549499
648,0.1013549499
649,0.1013549499
650,0.1013549499
651,0.1013549499
652,0.1013549499
653,0.1013549499
654,0.1086734694
655,0.1086734694
656,0.1086734694
657,0.1086734694
658,0.1086734694
659,0.1086734694
660,0.1086734694
661,0.1086734694
662,0.1086734694
663,0.1086734694
664,0.1086734694
665,0.1086734694
666,0.1086734694
667,0.1086734694
668,0.1086734694
669,0.1013549499
670,0.1013549499
671,0.1013549499
672,0.1013549499
